Opened at,Open quote,Closed at,Close quote,Stop,Quantity,P/L,Return,Equity
2023-01-24T08:45:00,129.96,2023-01-24T20:00:00,130.05,,1,0.063,0.063%,110.289
2023-01-25T06:30:00,130.36,2023-01-25T06:45:00,130.32,,1,-0.037,-0.037%,110.232
2023-01-25T07:15:00,130.35,2023-01-25T07:30:00,130.35,,1,-0.002,-0.002%,110.210
2023-01-25T14:45:00,129.75,2023-01-27T21:45:00,129.87,,-1,-0.097,-0.097%,110.093
2023-01-29T22:30:00,129.85,2023-01-30T04:30:00,129.43,,-1,0.325,0.323%,110.398
2023-01-30T10:30:00,129.98,2023-01-30T11:00:00,129.87,,-1,0.084,0.084%,110.461
2023-01-31T00:00:00,130.48,2023-01-31T18:30:00,130.17,,-1,0.237,0.237%,110.678
2023-02-01T07:45:00,130.38,2023-02-01T15:15:00,129.50,,1,-0.680,-0.675%,109.978
2023-02-01T23:30:00,128.58,2023-02-02T13:30:00,128.22,,-1,0.278,0.278%,110.241
2023-02-02T17:45:00,128.46,2023-02-03T13:30:00,129.78,Stop,1,1.019,1.029%,111.239
2023-02-03T13:45:00,129.95,2023-02-03T21:45:00,131.19,,1,0.947,0.956%,112.176
2023-02-05T22:30:00,131.70,2023-02-09T23:15:00,131.47,,1,-0.176,-0.176%,111.989
2023-02-10T13:45:00,130.70,2023-02-10T17:00:00,131.51,,1,0.612,0.616%,112.581
2023-02-13T00:15:00,131.61,2023-02-13T02:45:00,131.82,,-1,-0.156,-0.157%,112.408
2023-02-13T08:00:00,132.13,2023-02-13T09:00:00,132.44,,-1,-0.234,-0.235%,112.154
2023-02-13T13:00:00,132.43,2023-02-17T21:45:00,134.16,,1,1.295,1.312%,113.428
2023-02-19T22:30:00,134.25,2023-02-21T11:30:00,134.62,,1,0.276,0.277%,113.702
2023-02-21T16:00:00,134.73,2023-02-22T11:00:00,134.89,,-1,-0.112,-0.112%,113.570
2023-02-22T12:15:00,134.70,2023-02-22T12:30:00,134.55,,-1,0.116,0.116%,113.666
2023-02-22T12:45:00,134.53,2023-02-22T13:00:00,134.48,,-1,0.037,0.037%,113.683
2023-02-22T13:30:00,134.56,2023-02-22T16:00:00,134.60,,-1,-0.027,-0.027%,113.637
2023-02-22T16:30:00,134.69,2023-02-22T17:15:00,134.77,,-1,-0.055,-0.055%,113.562
2023-02-23T00:00:00,134.93,2023-02-23T10:45:00,134.90,,-1,0.021,0.021%,113.563
2023-02-23T11:30:00,134.98,2023-02-23T12:45:00,135.00,,-1,-0.016,-0.016%,113.528
2023-02-23T13:30:00,135.02,2023-02-23T14:30:00,135.10,,-1,-0.066,-0.066%,113.442
2023-02-23T18:45:00,134.72,2023-02-24T21:45:00,136.47,,1,1.279,1.296%,114.701
